               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.054559,             0.39755,                   0,             0.99565,             0.98381,             0.99447,             0.68234,            0.055637,             0.36225,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.055728,               0.402,                   0,             0.99719,             0.98652,             0.99472,             0.73654,            0.051194,             0.33282,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.053778,             0.39002,                   0,              0.9966,              0.9842,              0.9946,             0.70502,            0.053397,             0.35533,                   0,            0.004918,            0.004918,            0.004918
                  79,             0.05551,             0.41255,                   0,             0.99723,              0.9853,             0.99459,             0.75344,            0.050087,             0.32171,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.053439,             0.38407,                   0,             0.99695,             0.98332,             0.99427,             0.72713,            0.051901,             0.34756,                   0,            0.004786,            0.004786,            0.004786
                  81,             0.05568,             0.39803,                   0,             0.99656,              0.9834,             0.99446,             0.74475,            0.051021,             0.32564,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.053359,             0.38524,                   0,             0.99689,             0.98349,             0.99448,             0.72929,            0.051447,             0.34478,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.055029,             0.40032,                   0,             0.99617,             0.98381,             0.99463,             0.73242,            0.051089,              0.3267,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.053036,             0.38806,                   0,             0.99685,             0.98555,             0.99468,              0.7416,            0.050744,             0.33056,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.051999,             0.36717,                   0,             0.99718,             0.98296,             0.99441,             0.74449,            0.050939,             0.33642,                   0,            0.004456,            0.004456,            0.004456
                  86,             0.05318,             0.37653,                   0,             0.99715,             0.98371,             0.99444,             0.72254,            0.051436,             0.33628,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.052553,             0.38606,                   0,             0.99728,             0.98371,             0.99441,             0.74075,            0.050841,             0.33379,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.053996,             0.38424,                   0,             0.99735,             0.98521,             0.99475,              0.7475,            0.050275,             0.33147,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.055313,             0.40607,                   0,             0.99654,             0.98553,             0.99471,             0.74645,            0.050923,             0.32021,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.053481,              0.3812,                   0,             0.99752,              0.9865,             0.99479,             0.72257,            0.052095,             0.34465,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.055902,             0.40369,                   0,             0.99764,             0.98714,              0.9948,             0.75308,            0.049837,              0.3221,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.053645,             0.38467,                   0,             0.99738,             0.98425,             0.99455,             0.75291,             0.05021,             0.32326,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.052565,             0.38183,                   0,             0.99715,             0.98436,              0.9946,             0.74961,            0.050425,             0.33184,                   0,            0.003928,            0.003928,            0.003928
                  94,             0.05251,             0.37923,                   0,             0.99706,             0.98571,             0.99474,             0.75817,            0.049657,             0.32218,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.053043,             0.38779,                   0,             0.99735,             0.98559,             0.99473,             0.74252,              0.0507,             0.33357,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.051995,             0.37136,                   0,             0.99685,             0.98311,             0.99439,             0.73209,            0.051652,             0.33645,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.054509,             0.38777,                   0,             0.99737,             0.98601,             0.99473,              0.7606,            0.049324,             0.31679,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.052793,             0.38388,                   0,             0.99765,             0.98394,             0.99451,             0.74018,            0.050599,             0.34088,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.051956,             0.37366,                   0,             0.99727,             0.98665,             0.99481,              0.7457,             0.05066,             0.32719,                   0,            0.003532,            0.003532,            0.003532
                 100,             0.05268,             0.37481,                   0,             0.99689,             0.98675,              0.9948,             0.74855,            0.049926,             0.32593,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.051569,             0.37582,                   0,             0.99725,             0.98596,             0.99475,             0.76387,            0.049272,             0.31561,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.051534,             0.37918,                   0,              0.9967,             0.98652,             0.99481,             0.73438,            0.051217,             0.33177,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.052124,             0.37274,                   0,             0.99706,             0.98614,             0.99476,             0.74595,             0.05039,             0.33406,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.052771,             0.37893,                   0,             0.99713,             0.98666,             0.99481,             0.76075,             0.04931,             0.31825,                   0,            0.003202,            0.003202,            0.003202
